brand,model,type,movement,case_diameter,strap_material,price,style,water_resistance,features
Tissot,Heritage Visodate,Analog,Automatic,40,Leather,40000,Dress,30,"Day-Date Display,Domed Sapphire Crystal"
Tissot,Couturier,Analog,Automatic,39,Stainless Steel,38000,Dress,100,"Automatic Movement,Sapphire Crystal,Date Display"
Tissot,Carson Premium,Analog,Automatic,40,Stainless Steel,35000,Dress,50,"Powermatic 80,Date Display"
Tissot,V8 Chronograph,Chronograph,Quartz,42.5,Leather,25000,Sport,100,"Chronograph,Tachymeter"
Tissot,Chemin des Tourelles,Analog,Automatic,42,Stainless Steel,50000,Dress,50,"Clous de Paris Pattern,Roman Numerals"
Tissot,Sideral S,Analog,Automatic,41,Carbon,85000,Sport,300,"Forged Carbon Case,Diver's Watch"
Tissot,PRX Powermatic 80,Analog,Automatic,40,Stainless Steel,55000,Minimalist,100,"Powermatic 80,Sapphire Crystal"
Tissot,Visodate Quartz,Analog,Quartz,40,Stainless Steel,28000,Dress,30,"Day-Date Display,Sapphire Crystal"
Tissot,T-Race,Chronograph,Quartz,45,Rubber,28000,Sport,100,"Chronograph,Tachymeter,Motor Racing Inspired"
Tissot,Classic Dream,Analog,Quartz,42,Stainless Steel,20000,Dress,50,"Date Display,Sapphire Crystal"
Tissot,Quickster Chronograph,Chronograph,Quartz,42,Stainless Steel,26000,Sport,100,"Chronograph,Sporty Design"
Tissot,Seastar 2000,Analog,Automatic,46,Stainless Steel,60000,Diver,600,"Helium Escape Valve,Ceramic Bezel"
Tissot,Heritage 1938,Analog,Automatic,39,Leather,65000,Dress,30,"Automatic,Chronometer Certified"
Tissot,Chronograph,Chronograph,Automatic,42,Stainless Steel,100000,Sport,100,"Automatic Chronograph,Tachymeter"
Tissot,Le Locle,Analog,Automatic,39.3,Stainless Steel,45000,Dress,30,"Automatic,Elegant Design"
Tissot,PR 100 Sport,Analog,Quartz,38,Stainless Steel,22000,Casual,100,"Date Display,Sapphire Crystal"
Tissot,Heritage Porto,Analog,Quartz,42,Leather,30000,Vintage,30,"Tonneau Case,Roman Numerals"
Tissot,Gentleman Quartz,Analog,Quartz,40,Stainless Steel,35000,Dress,100,"Sapphire Crystal,Date"
Tissot,Seastar 1000 Chronograph,Chronograph,Quartz,45,Rubber,32000,Diver,300,"Diver's Watch,Chronograph"
Tissot,V8 Chrono Quartz,Chronograph,Quartz,42.5,Stainless Steel,26000,Sport,100,"Chronograph,Tachymeter"
Oris,Aquis Date,Analog,Automatic,43.5,Stainless Steel,140000,Diver,300,"Diver's Watch,Ceramic Bezel,Automatic"
Oris,ProPilot X Calibre 400,Analog,Automatic,39.5,Titanium,260000,Pilot,100,"Titanium Case,5-Day Power Reserve"
Oris,Big Crown Pointer Date,Analog,Automatic,40,Leather,115000,Dress,50,"Pointer Date,Automatic Movement"
Oris,Divers Sixty-Five,Analog,Automatic,42,Stainless Steel,130000,Vintage,100,"Vintage Design,Domed Crystal"
Oris,ProPilot Big Crown,Analog,Automatic,41,Textile,120000,Pilot,100,"Oversized Crown,Luminous"
Oris,Artelier Calibre 113,Analog,Manual,43,Leather,350000,Dress,50,"10-Day Power Reserve,Calendar"
Oris,Aquis GMT Date,Analog,Automatic,43.5,Stainless Steel,170000,Diver,300,"GMT Function,Diver's Watch"
Oris,Divers Sixty-Five Chronograph,Chronograph,Automatic,43,Stainless Steel,250000,Vintage,100,"Chronograph,Vintage Design"
Oris,Big Crown ProPilot Altimeter,Analog,Automatic,47,Stainless Steel,380000,Pilot,100,"Mechanical Altimeter,Barometer"
Oris,Aquis Cherry,Analog,Automatic,41.5,Stainless Steel,150000,Diver,300,"Red Dial,Diver's Watch"
Oris,ProPilot Big Day Date,Analog,Automatic,45,Stainless Steel,125000,Pilot,100,"Day-Date Display,Automatic"
Oris,Artix GT Day Date,Analog,Automatic,42,Stainless Steel,110000,Dress,100,"Day-Date Display,Automatic"
Oris,Chet Baker Limited Edition,Analog,Automatic,40,Leather,180000,Dress,30,"Jazz Musician Themed,Special Edition"
Oris,Big Crown Pointer Date Bronze,Analog,Automatic,40,Bronze,135000,Dress,50,"Bronze Case,Pointer Date"
Oris,Aquis Date Relief,Analog,Automatic,43.5,Stainless Steel,145000,Diver,300,"Diver's Watch,Relief Bezel"
Oris,ProDiver GMT,Analog,Automatic,49,Titanium,250000,Diver,1000,"Professional Diver,GMT Function,Titanium"
Oris,Artelier Skeleton,Analog,Automatic,40,Stainless Steel,190000,Dress,30,"Skeletonized Dial,Automatic Movement"
Oris,Aquis Date Calibre 400,Analog,Automatic,43.5,Stainless Steel,280000,Diver,300,"5-Day Power Reserve,Diver's Watch"
Oris,ProPilot Big Crown Bronze,Analog,Automatic,41,Bronze,130000,Pilot,100,"Bronze Case,Oversized Crown"
Oris,Divers Sixty-Five Bico,Analog,Automatic,40,Two-tone,160000,Vintage,100,"Vintage Design,Two-tone Bracelet"
Frederique Constant,Classics Index,Analog,Automatic,40,Leather,85000,Dress,50,"Automatic Movement,Date Display"
Frederique Constant,Classics Heart Beat,Analog,Automatic,40,Leather,110000,Dress,50,"Open Heart,Automatic Movement"
Frederique Constant,Highlife Automatic,Analog,Automatic,41,Stainless Steel,130000,Sport,50,"Integrated Bracelet,Automatic Movement"
Frederique Constant,Runabout Chronograph,Chronograph,Automatic,42,Leather,190000,Sport,50,"Chronograph,Limited Edition"
Frederique Constant,Slimline,Analog,Quartz,39,Leather,65000,Minimalist,30,"Ultra Thin,Date Display"
Frederique Constant,Classics Carree,Analog,Automatic,30,Leather,80000,Dress,30,"Square Case,Automatic Movement"
Frederique Constant,Horological Smartwatch,Analog-Digital,Quartz,42,Leather,75000,Smartwatch,50,"Activity Tracking,Sleep Monitoring"
Frederique Constant,Classics Quartz,Analog,Quartz,40,Leather,45000,Dress,50,"Quartz Movement,Date Display"
Frederique Constant,Highlife Perpetual Calendar,Analog,Automatic,41,Stainless Steel,380000,Dress,50,"Perpetual Calendar,Automatic"
Frederique Constant,Classics Moonphase,Analog,Quartz,40,Leather,75000,Dress,30,"Moonphase Indicator,Date Display"
Frederique Constant,Manufacture Slimline,Analog,Automatic,40,Leather,190000,Dress,30,"In-house Movement,Ultra Thin"
Frederique Constant,Ladies Automatic,Analog,Automatic,36,Stainless Steel,120000,Dress,50,"Automatic Movement,Diamond Accents"
Frederique Constant,Vintage Rally,Analog,Automatic,40,Leather,115000,Sport,50,"Vintage Racing Design,Automatic"
Frederique Constant,Classics Art Deco,Analog,Quartz,30,Stainless Steel,60000,Dress,30,"Art Deco Style,Bangle Bracelet"
Frederique Constant,Manufacture Tourbillon,Analog,Automatic,42,Leather,700000,Luxury,30,"Tourbillon,In-house Movement"
Frederique Constant,Highlife Chronograph,Chronograph,Automatic,41,Stainless Steel,220000,Sport,50,"Chronograph,Integrated Bracelet"
Frederique Constant,Slimline Perpetual Calendar,Analog,Automatic,42,Leather,280000,Dress,30,"Perpetual Calendar,Automatic Movement"
Frederique Constant,Classics Heart Beat Date,Analog,Automatic,40,Leather,120000,Dress,50,"Open Heart,Date Display"
Frederique Constant,Vintage Rally Healey,Chronograph,Automatic,42,Leather,195000,Sport,50,"Chronograph,Healey Limited Edition"
Frederique Constant,Slimline Moonphase,Analog,Quartz,38,Leather,70000,Minimalist,30,"Moonphase,Date Display"
Tudor,Black Bay 58,Analog,Automatic,39,Stainless Steel,300000,Diver,200,"In-house Movement,Diver's Watch,COSC Certified"
Tudor,Pelagos,Analog,Automatic,42,Titanium,350000,Diver,500,"Titanium Case,Helium Escape Valve,Luminous"
Tudor,Black Bay Chrono,Chronograph,Automatic,41,Stainless Steel,380000,Sport,200,"In-house Chronograph Movement,COSC Certified"
Tudor,Heritage Ranger,Analog,Automatic,41,Stainless Steel,250000,Field,150,"Automatic Movement,Field Watch"
Tudor,Black Bay Pro,Analog,Automatic,39,Stainless Steel,320000,GMT,200,"In-house GMT Movement,Fixed 24-hour Bezel"
Tudor,Royal,Analog,Automatic,41,Stainless Steel,220000,Dress,100,"Day-Date Display,Integrated Bracelet"
Tudor,Black Bay Bronze,Analog,Automatic,43,Bronze,360000,Diver,200,"Bronze Case,Automatic,Diver's Watch"
Tudor,1926,Analog,Automatic,41,Stainless Steel,200000,Dress,100,"Classic Dress Watch,Waffle Dial"
Tudor,Heritage Black Bay GMT,Analog,Automatic,41,Stainless Steel,350000,GMT,200,"In-house GMT Movement,Rotating Bezel"
Tudor,Pelagos 39,Analog,Automatic,39,Titanium,340000,Diver,200,"Titanium Case,Diver's Watch,Slimmer Profile"
